0.000000000000000000e+00 3.056812250249103968e+00 3.329477758519308606e-01
5.263157894736841813e-02 2.349101686853547033e+00 4.632900344910064194e-01
1.052631578947368363e-01 1.945417987439603813e+00 3.586950134994788542e-01
1.578947368421052544e-01 2.892384384526252461e+00 4.387961326934421979e-01
2.105263157894736725e-01 3.172454449854648750e+00 2.957393081818843195e-01
2.631578947368420907e-01 3.425935401212633735e+00 2.301150852531282931e-01
3.157894736842105088e-01 3.065020928560310942e+00 2.837003462617431193e-01
3.684210526315789269e-01 2.940170319512928732e+00 3.938125146699236190e-01
4.210526315789473450e-01 2.927046207888902352e+00 3.349296448078067368e-01
4.736842105263157632e-01 4.011099606373399240e+00 2.470436824138703691e-01
5.263157894736841813e-01 3.900285867382588645e+00 2.765603576872042169e-01
5.789473684210526550e-01 3.665470995503001816e+00 3.563667815040107989e-01
6.315789473684210176e-01 3.532060990178876203e+00 3.926844794838147967e-01
6.842105263157893802e-01 3.680404569609821763e+00 2.212912168178696182e-01
7.368421052631578538e-01 4.149404068754811270e+00 4.135541880718481833e-01
7.894736842105263275e-01 4.407607486840934286e+00 3.883951402486782722e-01
8.421052631578946901e-01 5.376636986687921116e+00 3.283829318898231486e-01
8.947368421052630527e-01 4.976416864701467269e+00 4.665393974373087671e-01
9.473684210526315264e-01 3.810899907045780743e+00 4.074577357905807551e-01
1.000000000000000000e+00 4.237361202930604698e+00 4.971340291738636230e-01
